id,category,question1,question2,question3,paraphrase1,paraphrase2,reviewerID,asin,start_index,end_index
301KG0KXAG0BQAKDGIG20HVB53E2H0,Vacuum,Would you be interested in a good vacuum for occasional messes?,Would you like a vacuum good for cleaning up occassional messes?,Are you looking for a vacuum cleaner that's good for cleaning up occasional messes?,Do you need a small vacuum made for occasional cleanups?,Do you want a vacuum good for cleaning up occasional messes?,ALE6T9UM86E1V,B000AS9IIC,316,360
301KG0KXAG0BQAKDGIG20HVB53EH2F,Blender,Do you need a blender that works well in a larger pot?,Are you interested in a bleander with a large pot that can be used for mashing potatoes or turnips?,Would you like a blender that is also suitable for larger pots?,Are you looking for a blender that is apt for larger pot?,Do you want a blender that you can use for large pots?,A2UTFRGSD1MY66,B00AN9UJ68,274,346
302OLP89E3M9E54175VGV8HT4Z1AC6,Grill,Would you like a grill with a convenient cooking grate for handling and cleaning?,Are you looking for a main porcelain-coated cooking grate that is in two pieces that are very convenient for handling and cleaning?,are you interrested in a grill with a main porcelain coated cooking grate is in two pieces which is very convenient for handling and cleaning?,Will a grill with a cooking grate for easy handling and cleaning be good for you?,Do you need a grill with a main porcelain coated cooking that is very convenient for handling and cleaning?,A3M1IB75F3UFXR,B002DM5PPS,344,461
302OLP89E3M9E54175VGV8HT4Z1CA8,Espresso machine,,,,,,AZG438ZR5Y51J,B000F49XXG,1647,1729
302U8RURK3GCXX4Q7QVQ76PIN5YNV3,Vacuum,Are you looking for a vacuum perfect for a studio apartment?,Are you looking for a vacuum for keep clean and dust free an studio appartment?,Are you looking for a vacuum cleaner that's perfect to keep your studio apt clean and dust free?,Are you seeking for a vacuum cleaner that can keep your studio apartment dust-free and clean?,Have you found  a vacuum perfect for a studio apartment?,A1UX6OHOVJSAFZ,B00AZBIXHG,0,53
302U8RURK3GCXX4Q7QVQ76PIN5YVNB,Grill,,,,,,A2VAUN3R0OV1MB,B00004TBJ6,64,154
302U8RURK3GCXX4Q7QVQ76PIODFNV1,Tent,Would you be interested in a tent which is easy to put up and great for scouting trips?,Are you looking for tents that are easy to put up and great for scouting trips?,Are you looking for a tent which is great for scouting trips?,Would you be interested in a simple to erect tent that is ideal for scouting trips?,Do you need a tent which is easy to put up and great for scouting trips?,A1HIB201KKGJYT,B0016HMBN0,0,82
302U8RURK3GCXX4Q7QVQ76PIODFVN9,Espresso machine,,,,,,A19DGYS3NNF9TR,B00092ZVXA,1615,1818
304QEQWK0TZEMH3M587E12ZXJJQO0R,Grill,Are you looking for a grill with heat resistant gloves and bear claws for shredding meat?,"Are you looking for a grill which comes with a set of grilling accessories that include heat resistant gloves and ""bear claws"" for shredding meat?","Do you need a grill that has a complete set of grilling accessories, including heat resistant gloves and ""bear claws"" for shredding meat?","Are you interested in a grill with a set of grilling accessories that include heat resistant gloves and ""bear claws"" for shredding meat?",Do you want to buy a grill that has bear claws for meat shredding and gloves that are heat resistant?,A1BXHUMO6Q5LEM,B00GJEPP92,1213,1318
304QEQWK0TZEMH3M587E12ZXJJR0O4,Walk-behind lawnmower,,,,,,A101IDWO1FF3LN,B00OV969C4,1785,1969
304QEQWK0TZEMH3M587E12ZXKR80O2,Snow shovel,Were you interested in a great snow shovel for moving snow a long distance?,Are you looking for a snow shove that is great for moving snow a long distance?,Would you be interested in a shovel for moving the snow a longer distance?,Want to move snow faster? It has an excellent snow shovel.,you think is useful a snow shovel for going somewhere far away?,A2925X5V7Z6O3D,B000A1CFKW,855,909
306996CF70ZUACZVXM6S9NI8IKV1B2,Tent,Do you want a tent that is really tall?,Would you like a tent that is quite tall?,Would you like a tent that is tall?,How about a really tall tent?,Are you looking for a tall tent?,AXGNMA3BLSKIP,B00HN98ISC,285,355
307FVKVSZVUO0ZTO7NDE2J3FBEE47W,Blender,Do you need a blender letting minimum messes to kitchen?,Do you want a blender that does not make much messes?,Would you like a great blender that minimizes mess?,Looking for a great blender that minimizes mess?,Are you in need of a blender which help in minimising kitchen messes?,A280FTS2TFTIHW,B0036DD9OW,0,62
307FVKVSZVUO0ZTO7NDE2J3FBEE74Z,Backpacking pack,Would you like to purchase a backpack that folds up in a nice little bag to pack?,Would you like a backpacking pack you can fold itself into a nice small bag?,Are you looking for a backpacking pack that folds into itself into a nice small bag for packing?,Do you want a camping pack that can be folded into a tiny bag?,Need a backpack you can fold itself into a nice small bag?,ASN4RROM6IYBS,B01BY6UFWQ,188,239
307L9TDWK27SLO27NGPKOBXZWL63NN,Vacuum,Would you like a canister which is great for vacuuming doorjams?,Are you looking for a vacuum containing a canister great for vacuuming doorjams?,Are you looking for a vacuum with canister for vacuming the doorjams?,do you need a vacuum with canister that is great for vacuuming doorjams?,How about a vacuum that has a canister to vacuum the doorjams?,A15WTWNDAK6Q8G,B001PB8EEM,129,176
307L9TDWK27SLO27NGPKOBXZXTN3NL,Tent,Are you interested in a tent that is perfect for backpacking and biking?,do you want a tent who is perfect for backpacking and biking?,Do you want a tent that's perfect for backpacking and biking?,Can you use a tent that is great for both biking and hiking?,Do you want a comfortable cycling tent?,A2P8B5PMOIE7W,B00A8E2F88,0,34
